index,x,y
truck4,377.0926949048496,37.57262103505843
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck11,323.9766728054021,109.61268781302171
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck18,364.6678944137508,222.64106844741238
truck19,431.1405770411296,207.11519198664442
truck21,438.59545733578886,147.80634390651085
truck22,356.2811540822591,145.63272120200335
truck26,121.14180478821363,337.2220367278798
truck28,224.88888888888889,335.97996661101837
truck30,332.05279312461636,352.12687813021705
truck33,393.24493554327813,377.2787979966611
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck38,112.44444444444444,397.7729549248748
truck39,49.699201964395336,497.7595993322204
truck41,217.4340085942296,477.8864774624374
truck44,315.5899324739104,295.92320534223705
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
