ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,195507
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,46922
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117304
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,23461
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,23461
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,46922
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,23461
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117304
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,1174
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,2933
ShelterToolKit,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,23461
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117304
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,46922
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,23461
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,46922
