ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,416785
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,100029
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,250071
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,50015
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,50015
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,100029
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,50015
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,250071
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,2501
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,6252
ShelterToolKit,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,50015
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,250071
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,100029
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,50015
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,100029
