region,date,type,price,units_sold
Great_Lakes,1/7/19 0:00,Conventional,1.10674295,3812441.96
Great_Lakes,1/7/19 0:00,Organic,1.371279584,275987.52
Great_Lakes,1/13/19 0:00,Conventional,1.063456872,3843318.68
Great_Lakes,1/13/19 0:00,Organic,1.493383598,244991.95
Great_Lakes,1/20/19 0:00,Conventional,1.049930908,4587957.69
Great_Lakes,1/20/19 0:00,Organic,1.60431879,211210.69
Great_Lakes,1/27/19 0:00,Conventional,1.279025898,3097349.09
Great_Lakes,1/27/19 0:00,Organic,1.632288509,192500.06
Great_Lakes,2/3/19 0:00,Conventional,0.858456943,5594759.8
Great_Lakes,2/3/19 0:00,Organic,1.409416979,227781.94
Great_Lakes,2/10/19 0:00,Conventional,0.960754137,3828693.8
Great_Lakes,2/10/19 0:00,Organic,1.444239868,201839.72
Great_Lakes,2/17/19 0:00,Conventional,1.038228389,3646682.02
Great_Lakes,2/17/19 0:00,Organic,1.588478773,176243.78
Great_Lakes,2/24/19 0:00,Conventional,1.175716419,3402250.38
Great_Lakes,2/24/19 0:00,Organic,1.604281817,189672.47
Great_Lakes,3/3/19 0:00,Conventional,1.072860937,3698114.45
Great_Lakes,3/3/19 0:00,Organic,1.552314128,196835.6
Great_Lakes,3/10/19 0:00,Conventional,1.072176512,3794092.29
Great_Lakes,3/10/19 0:00,Organic,1.510135862,188699.95
Great_Lakes,3/17/19 0:00,Conventional,1.052867666,4184428.89
Great_Lakes,3/17/19 0:00,Organic,1.560711225,171640.83
Great_Lakes,3/24/19 0:00,Conventional,1.046159663,3752926.18
Great_Lakes,3/24/19 0:00,Organic,1.505214368,169280.88
Great_Lakes,3/31/19 0:00,Conventional,1.079556202,3569524.52
Great_Lakes,3/31/19 0:00,Organic,1.556380998,146729.66
Great_Lakes,4/7/19 0:00,Conventional,1.053538133,4281559.61
Great_Lakes,4/7/19 0:00,Organic,1.711212375,152663.62
Great_Lakes,4/14/19 0:00,Conventional,1.142013027,3777622.55
Great_Lakes,4/14/19 0:00,Organic,1.634525084,170393.45
Great_Lakes,4/21/19 0:00,Conventional,1.320101815,3390019.1
Great_Lakes,4/21/19 0:00,Organic,1.875775307,152729.11
Great_Lakes,4/28/19 0:00,Conventional,1.530612298,2728677.59
Great_Lakes,4/28/19 0:00,Organic,2.153399988,130083.37
Great_Lakes,5/5/19 0:00,Conventional,1.28763042,4113530.04
Great_Lakes,5/5/19 0:00,Organic,2.172696636,133526.27
Great_Lakes,5/12/19 0:00,Conventional,1.320300602,3655493.98
Great_Lakes,5/12/19 0:00,Organic,2.124843905,140272.18
Great_Lakes,5/19/19 0:00,Conventional,1.448138461,3124227.28
Great_Lakes,5/19/19 0:00,Organic,2.106295759,157583.71
Great_Lakes,5/26/19 0:00,Conventional,1.457565095,3396975.92
Great_Lakes,5/26/19 0:00,Organic,2.085636412,155435.98
Great_Lakes,6/2/19 0:00,Conventional,1.237181057,4150543.78
