ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,308507
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,74042
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,37021
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,185104
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,37021
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,74042
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,185104
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,185104
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,37021
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,185104
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,74042
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,37021
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,74042
