ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,47337
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,11361
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,5680
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,28402
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,5680
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,11361
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,28402
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,28402
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,5680
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,28402
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,11361
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,5680
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,11361
