ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,6417
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,1540
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,770
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,3850
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,770
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,1540
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,3850
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,3850
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,770
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,3850
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,1540
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,770
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,1540
