ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,73333
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,17600
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,8800
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,44000
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,8800
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,17600
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,44000
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,44000
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,8800
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,44000
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,17600
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,8800
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,17600
