ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,114112
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,27387
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,13693
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,68467
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,13693
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,27387
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,68467
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,68467
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,13693
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,68467
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,27387
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,13693
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,27387
