ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,14530
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,3487
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,1744
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,8718
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,1744
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,3487
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,8718
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,8718
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,1744
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,8718
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,3487
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,1744
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,3487
