ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,22103
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,5305
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,2652
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,13262
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,2652
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,5305
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,13262
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,13262
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,2652
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,13262
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,5305
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,2652
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,5305
