ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,207017
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,49684
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,24842
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,124210
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,24842
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,49684
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,124210
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,124210
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,24842
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,124210
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,49684
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,24842
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,49684
