ItemName,Wharehouse(Region),gglAddress,Country,Total
Blankets,Oceania,"Shefa, Vanuatu",Vanuatu,29900
Buckets,Oceania,"Shefa, Vanuatu",Vanuatu,7176
Hygiene Kits,Oceania,"Shefa, Vanuatu",Vanuatu,3588
Dignity Kits,Oceania,"Shefa, Vanuatu",Vanuatu,17940
Kitchen sets,Oceania,"Shefa, Vanuatu",Vanuatu,3588
mosquito nets,Oceania,"Shefa, Vanuatu",Vanuatu,7176
Personal Protection Equipment kit (PPE),Oceania,"Shefa, Vanuatu",Vanuatu,17940
Water Purification Tablets,Oceania,"Shefa, Vanuatu",Vanuatu,17940
Shelter tool kits,Oceania,"Shefa, Vanuatu",Vanuatu,3588
Sleeping mats,Oceania,"Shefa, Vanuatu",Vanuatu,17940
Tarpaulins,Oceania,"Shefa, Vanuatu",Vanuatu,7176
Family Tents,Oceania,"Shefa, Vanuatu",Vanuatu,3588
Water Containers,Oceania,"Shefa, Vanuatu",Vanuatu,7176
